0,8.909673255529158,6.451163957977295,0.04,4.66
1,7.036720065581493,4.497634663391113,9.94,31.73
2,6.396333502500485,4.1095790199279785,16.84,42.8
3,5.9691000204819895,3.5103165718078615,27.48,57.22
4,5.598716564667531,3.441329578399658,29.57,59.21
5,5.324693023241483,3.157724660110474,36.35,65.42
6,5.10498977685586,2.909487832260132,40.87,70.33
7,4.893334833780925,2.5446596851348877,49.92,78.67
8,4.712358621450571,2.3214455879211426,54.35,81.77
9,4.579772509061373,2.247408337402344,57.11,83.58
